"class","cap.diameter","cap.shape","cap.surface","cap.color","does.bruise.or.bleed","gill.attachment","gill.spacing","gill.color","stem.height","stem.width","stem.root","stem.surface","stem.color","veil.type","veil.color","has.ring","ring.type","spore.print.color","habitat","season"
"p",3.07,"x","t","n","f","s","c","n",5.91,8.72,"","","w","","n","t","z","","d","u"
"e",7.84,"x","y","w","f","e","c","n",5.64,12.8,"","","w","","w","t","e","","m","u"
"p",4.64,"s","k","n","f","p","","n",3.3,4.45,"","k","n","","","t","f","","d","u"
"e",14.2,"s","e","n","f","d","c","w",7.54,23.58,"s","","w","","","f","f","","l","a"
"p",2.92,"b","d","y","f","a","","r",4.88,4.93,"","t","y","","","f","f","","m","a"
"p",7.89,"o","","n","f","f","f","f",2.87,24.43,"","g","n","","","f","f","","d","u"
"p",4.58,"f","","p","f","x","","w",4.89,6.64,"","","w","","","f","f","","d","a"
"e",6.75,"x","h","n","f","a","d","n",6.31,4.93,"","t","g","","","t","l","","d","w"
"p",6.82,"x","w","n","f","x","","w",14.01,6.91,"r","g","n","","","f","f","","d","a"
"p",2.81,"b","w","r","f","a","","r",4.81,5.41,"","t","y","","","f","f","","d","a"
"p",7.45,"f","","r","f","x","c","n",6.07,9.22,"","","w","","","f","f","","d","u"
"p",5.53,"x","s","r","t","s","d","r",4.78,11.96,"r","y","n","","","f","f","","d","a"
"e",12.39,"s","","w","t","d","c","y",6.61,25.87,"","","w","","","f","f","","d","u"
"e",17.1,"x","d","o","f","p","","n",16.42,36.01,"s","y","w","","","f","f","","d","a"
"e",5.89,"p","s","w","f","e","c","k",4.47,11.4,"","","w","","w","t","e","","g","u"
"e",2.95,"b","y","n","f","","c","k",6.14,2.67,"","","w","","","f","f","","d","a"
"p",1.01,"x","g","w","f","a","d","w",2.89,1.55,"","","e","","","f","f","","l","u"
"p",3.47,"o","s","n","f","f","f","f",0,0,"f","f","f","","","t","f","","d","u"
"e",5.08,"x","","w","f","x","c","w",7.61,9.17,"b","","w","","w","t","","","d","a"
"e",13.9,"s","t","n","f","a","d","k",5.58,20.61,"","","w","","","f","f","w","d","a"
"e",0.96,"b","g","g","f","","","g",3.36,1.53,"","","w","","","f","f","","d","u"
"e",4.81,"x","","w","f","x","c","n",8.47,9.08,"b","","n","","w","t","","","g","a"
"p",2.44,"o","","g","f","f","f","f",2.26,13.05,"","g","g","","","f","f","","d","u"
"e",9.78,"x","s","k","f","a","c","w",4.37,18.09,"","","w","","","f","f","","d","u"
"p",3.1,"s","d","w","f","d","d","p",3.32,2.51,"","h","w","","","f","f","","g","a"
"p",3.82,"x","","e","f","","c","w",3.24,11.95,"","","y","","","f","f","","d","a"
"p",8.42,"b","y","w","f","","","p",12.77,18.3,"","","w","","","f","f","","d","a"
"p",8.57,"f","h","n","f","x","","w",14.43,7.87,"r","g","n","","","f","f","","d","a"
"p",7.25,"x","s","g","t","s","d","w",4.49,13.35,"r","y","w","","","f","f","","d","u"
"p",0.61,"f","","o","f","d","","o",4.28,0.87,"","","o","","","f","f","w","g","u"
"e",2.72,"b","y","n","f","","c","k",6.3,2.99,"","","w","","","f","f","","d","w"
"e",3.24,"x","d","n","f","p","","e",4.1,9.66,"","","y","","","f","f","","d","a"
"e",6.21,"f","","y","f","a","c","w",5.17,11.52,"","","w","","","f","f","","d","w"
"p",3.33,"x","i","e","f","","","e",5.03,6,"","","e","","","f","f","n","d","a"
"e",8.89,"x","s","w","f","s","c","w",5.99,26.89,"","","w","","","f","f","","m","u"
"p",7.29,"x","s","n","f","s","","g",5.41,7.16,"","y","n","","","f","f","","d","a"
"e",9.1,"f","s","w","f","e","c","w",22.07,13.1,"","s","w","","","t","e","","u","a"
"p",8.54,"o","e","o","f","","c","o",1.32,15.72,"","","n","","","f","f","","d","w"
"e",12.23,"s","","w","t","d","c","y",6.08,24.94,"","","w","","","f","f","","d","a"
"e",11.48,"x","h","n","t","p","","y",9.5,22.66,"","","n","","","f","f","","d","a"
"e",7.71,"f","","e","f","x","c","w",6.08,17.13,"","s","w","","","f","f","","d","u"
"e",8.8,"x","","g","f","a","","w",8.21,15.07,"","","g","","","f","f","","d","u"
"e",0.91,"b","g","w","f","","","g",2.82,1.43,"","","w","","","f","f","","d","s"
"p",18.73,"f","s","n","f","d","c","y",5.28,29.29,"","k","k","","","f","f","","d","u"
"p",3.1,"b","y","n","f","","c","u",6.57,4.7,"s","s","w","","","f","f","","d","a"
"p",5.56,"x","s","o","f","e","","k",8.25,8.66,"","","k","","","f","f","","g","a"
"p",11.34,"x","h","w","f","s","","y",7.65,17.63,"","i","n","","","f","f","","d","a"
"p",7.67,"f","","w","f","x","c","w",10.59,10.32,"r","i","w","","","f","f","","d","u"
"e",8.91,"s","","n","f","s","c","p",8.08,19.9,"b","","u","","","f","f","","g","w"
"p",2.4,"p","t","n","f","a","c","n",8,2.56,"","t","y","","","t","e","","m","u"
"p",3.2,"x","h","o","f","a","c","n",4.48,5.7,"","y","o","","","t","z","","d","w"
"e",5.69,"x","t","g","f","a","d","n",5.97,4.7,"","t","g","","","t","l","","d","u"
"e",2.69,"s","y","n","f","d","d","p",5.97,3.28,"","i","n","","","f","f","","l","u"
"p",2.92,"f","","u","f","a","","w",3.83,5.95,"","","y","","","f","f","","d","u"
"p",7.27,"x","","n","f","x","c","w",10.1,10.35,"r","i","w","","","f","f","","d","u"
"e",4.6,"s","s","b","f","d","d","o",5.39,12.38,"","","w","","","f","f","","g","a"
"p",8.14,"x","s","r","t","s","d","r",5.28,16.03,"r","i","n","","","f","f","","d","u"
"p",3.31,"x","i","e","f","","","e",3.78,4.21,"","","e","","","f","f","n","d","a"
"p",5.36,"x","e","e","f","a","","n",7.67,10.14,"","","n","","w","t","z","","d","a"
"p",17.6,"x","g","o","f","e","","w",16.37,18.63,"s","y","w","u","w","t","g","","d","w"
"e",4.5,"f","y","g","f","s","","y",4.98,8.38,"","","w","","","f","f","","d","u"
"e",8.09,"x","h","n","t","p","","y",5.92,16.26,"","","n","","w","t","p","","d","u"
"e",6.93,"x","h","y","t","x","c","y",6.97,11.64,"","","w","","","f","f","","d","u"
"e",3.55,"f","s","w","f","d","d","w",3.18,6.53,"","","w","","","f","f","","m","a"
"e",6.85,"x","h","y","f","p","","y",6.01,14.26,"","","y","","y","t","","","d","a"
"p",7.03,"x","e","n","f","a","","n",8.23,12.85,"s","","n","","e","f","f","","h","a"
"p",4.09,"o","","w","f","f","f","f",5.21,27.88,"","g","w","","","t","f","","p","a"
"p",9.77,"x","e","n","f","a","","n",11.21,17.21,"s","","n","","n","f","f","","d","a"
"e",8.02,"x","t","n","t","p","","n",7.1,17.94,"","","n","","w","t","p","","d","u"
"e",10.07,"x","y","e","f","","","w",7.67,23.26,"b","","n","","w","t","e","","d","a"
"e",8.31,"f","h","o","f","s","","n",9.22,12.55,"","t","n","","","f","f","","d","a"
"p",1.47,"f","","w","f","a","c","w",2.9,3.33,"","i","u","","","f","f","","p","a"
"e",8.91,"o","","n","f","","","w",3.26,19.63,"","","n","","","f","f","","d","a"
"e",2.81,"x","","b","f","","d","w",7.4,5.2,"","","w","","","f","f","","d","w"
"e",4.34,"x","","y","f","e","","w",5.6,11.91,"b","","w","u","w","t","g","","d","a"
"p",3.31,"s","","u","f","a","","w",4.28,6.94,"","","y","","","f","f","","d","u"
"e",6.87,"s","l","w","f","d","","w",3.5,8.42,"","","w","","","f","f","","d","u"
"e",3.54,"x","","y","f","a","c","y",3.07,8.06,"","","w","","","f","f","","d","a"
"p",15.06,"x","t","n","t","d","c","b",5.34,25.1,"","","g","","","f","f","","g","u"
"e",6.64,"x","s","k","f","a","c","w",3.88,13.19,"","","w","","","f","f","","d","u"
"p",3.15,"s","d","w","f","a","d","p",3.69,2.74,"","h","w","","","f","f","","g","a"
"e",8.98,"p","i","n","t","e","","p",8.69,16.24,"","y","w","","","t","l","","l","a"
"p",5.55,"b","s","n","f","","","w",9.05,12.09,"","s","w","","","t","z","","d","s"
"e",6.36,"f","t","o","f","s","","n",8.44,10.9,"","t","o","","","f","f","","d","a"
"p",2.7,"o","","w","f","f","f","f",5.36,25.9,"","g","w","","","t","f","","d","a"
"p",7.84,"f","","w","f","x","c","w",11.07,12.06,"r","i","w","","","f","f","","d","a"
"p",3.75,"b","h","n","f","","","k",10.99,5.59,"","","w","","","t","","k","g","a"
"e",16.14,"f","e","n","f","a","c","w",7.65,26.01,"s","","w","","","f","f","","d","a"
"p",2.97,"f","","w","f","x","c","p",7.76,3.94,"","","n","","","f","f","","d","u"
"e",23.2,"x","w","n","f","p","","y",20.29,78.59,"","","n","","","f","f","","d","a"
"e",1.67,"c","g","n","f","a","","w",5.02,1.4,"","","g","","","f","f","","d","u"
"e",0.93,"x","g","e","t","a","","p",5.78,1.05,"","","n","","","f","f","","d","u"
"e",6.29,"x","d","y","t","p","","y",6.88,16.15,"","","y","","","f","f","","d","u"
"e",5.96,"x","t","g","f","a","d","n",5.83,4.71,"","t","g","","","t","l","","d","u"
"p",7.88,"f","","r","f","x","c","y",7.02,13.03,"","","w","","","f","f","","d","a"
"p",2.1,"c","t","n","f","","","y",7.38,2.84,"","","y","","","f","f","","g","u"
"p",11.44,"x","d","o","f","a","","y",13.2,25.21,"r","","y","","","t","r","n","d","w"
"e",51.74,"o","y","y","f","p","","y",6.58,43.68,"","k","n","","","f","f","","d","s"
"p",7.44,"x","t","n","f","s","","n",5.51,8.21,"","y","n","","","f","f","","d","w"
"e",2.66,"f","y","n","f","d","d","p",6.79,3.32,"","i","n","","","f","f","","l","a"
"e",7.57,"x","d","n","t","p","","r",5.88,12.31,"","","e","","","f","f","","d","u"
"p",1.94,"x","i","l","f","a","","p",4.48,2.64,"","","w","","","f","f","p","g","u"
"e",7.72,"x","y","w","f","e","c","p",5.23,13.66,"","","w","","w","t","e","","m","a"
"e",4.92,"f","y","n","f","s","","w",4.65,6.75,"","","w","","","f","f","","d","u"
"p",4.47,"x","","g","f","d","c","w",4.56,8.61,"b","","n","","","f","f","","l","w"
"e",14.69,"x","e","n","t","e","","w",10.36,17.68,"","","w","","","t","","","d","a"
"p",13.86,"f","d","n","f","d","c","y",5.41,34.07,"","k","k","","","f","f","","d","u"
"e",21.27,"x","t","n","f","p","","y",14.91,62.15,"","","n","","","f","f","","d","u"
"p",10.05,"x","e","y","t","p","","e",7.83,22.27,"","","e","","","f","f","","d","u"
"e",8.82,"x","t","n","f","p","d","y",7.85,13.43,"","s","n","","","f","f","","d","u"
"e",3.73,"s","d","u","t","d","c","p",4.86,5.88,"","","g","","","f","f","","d","u"
"p",8.24,"b","y","w","f","","","k",13.21,17.84,"","","w","","","f","f","","d","a"
"p",4.73,"f","l","y","f","x","d","e",5.26,4.81,"","","y","","","f","f","","d","u"
"e",12.08,"x","y","n","f","","","w",7.94,26.43,"b","","n","","w","t","e","","d","a"
"e",4.26,"x","","w","f","x","c","n",7.77,8.16,"b","","w","","w","t","","","g","s"
"e",5.6,"p","s","w","f","e","c","n",5.61,12.46,"","","w","","w","t","e","","g","u"
"e",8.08,"o","","n","f","","","w",4.36,25.24,"","","n","","","f","f","","d","a"
"e",9.86,"x","e","n","f","a","c","w",7.33,23.19,"s","","w","","","f","f","","d","a"
"e",5.32,"x","y","n","f","e","c","w",5.18,9.65,"","y","n","","","f","f","","d","u"
"e",9.89,"x","t","y","f","p","","y",7.17,15.46,"","","y","","y","t","","","d","u"
"e",6.25,"x","h","g","f","a","d","n",6.33,5.46,"","t","w","","","t","l","","d","u"
"p",7.5,"b","t","w","f","e","c","w",11.57,11.51,"","y","w","u","w","t","e","","d","u"
"p",3.43,"x","y","y","f","a","","w",5.32,3.33,"","y","y","","","t","r","","h","u"
"e",3.94,"x","h","o","f","a","d","y",5.57,4.8,"","s","n","","","f","f","","d","s"
"e",8.56,"f","g","n","f","s","","y",8.11,10.82,"","i","o","","","f","f","","d","a"
"e",17.58,"f","t","w","f","a","d","y",7.82,21.41,"","","w","","","f","f","w","d","w"
"e",19.06,"f","t","n","f","a","d","y",5.46,22.99,"","","w","","","f","f","w","d","a"
"e",9.66,"s","","u","f","s","c","u",6.94,19.41,"","","u","","","f","f","","l","a"
"e",2.41,"x","","u","f","","d","u",5.84,3.81,"","","w","","","f","f","","d","w"
"p",6.65,"x","","y","f","s","d","y",6.27,11.87,"","i","y","","","f","f","","d","a"
"e",6.75,"x","h","n","f","x","c","w",4.23,5.33,"","s","n","","","t","r","","d","u"
"p",5.97,"s","d","o","f","d","c","y",3.28,6.72,"","","o","","","f","f","","d","a"
"p",3.33,"x","h","o","f","a","c","n",5.1,6.3,"","y","n","","","t","z","","d","a"
"e",7.93,"f","y","n","f","","","w",6.05,23.32,"b","","n","","w","t","e","","d","w"
"p",16.05,"x","h","o","f","e","","w",18.44,18.3,"s","y","w","u","w","t","g","","d","a"
"e",8,"f","","y","f","a","c","w",6.49,16.11,"","","g","","","f","f","","d","a"
"e",4.98,"x","t","n","f","e","","w",11.52,11.53,"","s","n","u","w","f","f","","d","u"
"p",2.63,"f","","u","f","a","c","w",3.8,3.53,"","i","u","","","f","f","","p","u"
"e",3.07,"s","y","n","f","d","d","p",7.26,4.27,"","i","n","","","f","f","","l","u"
"p",3.69,"b","t","n","f","x","c","p",6.5,4.53,"","i","n","","","f","f","","d","a"
"p",8.61,"s","t","p","t","d","c","p",6.94,13.97,"","","p","","","t","f","","d","a"
"e",2.95,"x","h","e","f","a","c","e",3.85,5.99,"","","o","","","f","f","","g","w"
"p",2.08,"c","","w","f","a","c","w",2.86,3.24,"","i","w","","","f","f","","p","a"
"p",4.68,"x","h","n","f","a","c","n",5.22,7.26,"","y","o","","","t","z","","d","a"
"p",0.74,"x","g","o","f","","","y",3.62,0.75,"","","y","","","f","f","","d","u"
"e",5.14,"s","l","n","f","f","f","f",6.28,58.17,"","","n","","","f","f","g","d","u"
"p",11.31,"x","s","y","f","s","","p",6.67,16.75,"","i","n","","","f","f","","d","u"
"e",15.18,"x","e","n","t","e","","w",10.15,16.73,"","","w","","","t","","","g","u"
"e",23.21,"x","w","n","f","p","","y",10.69,56.69,"","","n","","","f","f","","d","a"
"p",10.06,"x","t","n","f","a","d","w",9.52,27.7,"","","w","","","f","f","","d","u"
"e",5.37,"x","l","w","f","d","","p",3.42,8.96,"","","w","","","f","f","","d","a"
"e",7.2,"f","y","w","f","e","c","p",4.98,12.78,"","","w","","w","t","e","","g","a"
"p",4.16,"x","s","y","f","","c","r",7.66,7,"","","y","u","w","t","z","k","d","w"
"p",9.64,"x","t","n","f","a","d","w",10.8,31.6,"","","w","","","f","f","","d","a"
"p",9.36,"x","y","y","f","a","","y",9.24,21.2,"r","","o","","","t","r","n","d","w"
"e",14.22,"p","y","n","f","","","w",23.96,19.43,"s","","n","","","t","m","","m","a"
"e",17.18,"p","t","n","f","p","","w",16.71,82.94,"","","n","","","f","f","","d","a"
"p",13.12,"f","t","n","t","d","c","n",6.14,16.69,"","","n","","","f","f","","h","a"
"e",10.92,"p","y","w","f","e","c","k",20.9,11.99,"","s","w","","","t","e","","u","w"
"e",6.07,"x","","y","f","e","","w",6.1,12.83,"b","","y","u","w","t","g","","d","a"
"p",8.49,"p","g","n","f","e","","w",8.69,15.44,"","y","w","u","w","t","p","","d","a"
"e",3.53,"f","s","w","f","d","d","w",3.27,6.79,"","","w","","","f","f","","g","w"
"e",6.18,"x","s","w","f","e","c","k",4.65,13.28,"","","w","","w","t","e","","m","u"
"p",5.97,"x","t","y","f","x","c","y",4.6,16.25,"","","y","","","f","f","","d","a"
"p",5.43,"f","","y","f","s","d","y",6.64,15.06,"","i","y","","","f","f","","d","a"
"p",3.65,"f","d","n","f","x","c","w",4.79,3.24,"b","s","n","","","f","f","","d","u"
"p",6.21,"f","","n","f","d","c","w",5.94,10.13,"b","","n","","","f","f","","d","a"
"e",6.11,"x","h","y","t","x","c","y",6.57,14.46,"","","w","","","f","f","","d","a"
"p",5.09,"x","","w","f","","c","g",3.73,12.22,"","","y","","","f","f","","d","a"
"p",21.14,"f","d","e","f","p","","y",4.91,34.73,"","","n","","","f","f","","d","a"
"e",8.03,"x","","n","t","p","","g",11.59,25.05,"","y","w","","","f","f","","d","u"
"e",4.27,"x","h","p","f","a","c","e",4.72,6.7,"","","e","","","f","f","","m","a"
"e",20.37,"p","w","n","f","p","","y",14.9,67.67,"","","n","","","f","f","","d","u"
"p",4.85,"f","t","n","f","x","c","y",4.63,12.52,"","","y","","","f","f","","d","a"
"e",3.98,"x","","w","f","x","c","w",5.95,3.76,"","","w","","","f","f","","d","a"
"p",8.97,"x","e","n","f","a","","n",12.3,16.23,"s","","n","","n","f","f","","d","a"
"p",5.21,"x","s","r","t","s","d","r",4.75,12.67,"r","y","n","","","f","f","","d","a"
"p",11.11,"x","e","n","f","a","","n",13.1,17.86,"s","","n","","e","f","f","","h","a"
"p",3.65,"f","","y","f","x","","w",5.09,6.22,"","","w","","","f","f","","d","u"
"p",3.38,"f","","e","f","x","","w",4.24,6.3,"","","w","","","f","f","","d","a"
"p",8.1,"x","h","r","f","","c","w",11.11,16.11,"","","w","u","w","t","g","","d","u"
"e",10.06,"x","y","n","f","","","w",7.73,26.51,"b","","n","","w","t","e","","d","a"
"p",1.34,"f","s","y","f","f","f","f",3.33,5.43,"","","y","","","f","f","","d","u"
"p",5.82,"x","s","g","t","s","d","w",5.9,16.54,"r","y","w","","","f","f","","d","u"
"e",3.06,"b","g","w","f","x","d","w",4.39,3.19,"","","y","","","f","f","","g","a"
"p",5.57,"s","d","e","t","d","c","y",5.89,8.47,"","","n","","","f","f","","d","a"
"p",7.94,"o","e","o","f","","c","y",1.59,13.69,"","","y","","","f","f","","d","a"
"e",7.28,"f","i","n","f","e","c","p",4.12,12.22,"","","w","","","t","r","","w","a"
"e",8.37,"x","","n","t","p","","g",13.18,28.04,"","y","w","","","f","f","","d","a"
"e",3.72,"b","g","n","f","x","d","w",4.69,3.03,"","","y","","","f","f","","g","a"
"e",3.78,"x","","l","f","d","","r",6.06,8.56,"","","w","","","f","f","","d","u"
"e",9.02,"p","s","w","f","e","c","w",19.83,12.29,"","s","w","","","t","e","","u","w"
"e",6.43,"x","","y","f","e","","w",6.18,12.53,"b","","y","u","w","t","g","","d","u"
"p",16.36,"f","g","e","f","e","","w",18.94,17.67,"s","y","w","u","w","t","g","","d","a"
"p",8.52,"f","t","e","f","x","d","w",7.46,19.38,"b","","w","","","f","f","","d","u"
"e",7.56,"x","","n","t","p","","g",11.82,25.42,"","y","w","","","f","f","","d","u"
"e",8.52,"s","","g","f","s","c","p",7.49,19.7,"b","","u","","","f","f","","d","w"
"e",15.73,"x","s","n","t","e","","g",12.57,19.11,"s","","w","","","t","l","","m","a"
"e",5.73,"b","h","k","f","s","d","g",3.84,9.09,"","s","g","","","f","f","","d","a"
"p",4.25,"f","t","n","f","x","c","p",5.21,4.09,"","i","n","","","f","f","","g","u"
"e",17.66,"p","d","o","f","p","","w",16.96,35.91,"s","y","w","","","f","f","","d","u"
"e",5.09,"x","","r","f","d","","r",6.01,8.33,"","","w","","","f","f","","d","a"
"p",2.89,"f","t","p","f","a","","y",4.6,5.21,"","t","r","","","f","f","","g","a"
"e",3.9,"x","","n","f","x","c","n",6.91,4.2,"","","w","","","f","f","","d","a"
"p",5.38,"s","","n","t","d","c","w",6.28,5.9,"","","n","","","f","f","","d","u"
"e",3.45,"s","","y","f","f","f","f",6.05,7.1,"","","y","","","f","f","","d","a"
"p",4.54,"x","","y","f","x","","w",4.84,6.31,"","","w","","","f","f","","d","a"
"p",0.98,"x","g","w","f","a","d","w",3.27,1.38,"","","n","","","f","f","","l","a"
"p",3.39,"x","t","n","f","s","c","n",5.19,8.22,"","","w","","n","t","z","","d","a"
"p",3.18,"x","t","o","f","a","c","n",4,5,"","y","o","","","t","z","","d","a"
"p",10.34,"x","h","y","f","s","","p",6.93,16.71,"","i","n","","","f","f","","d","a"
"p",3.3,"x","y","n","f","a","","w",5.23,3.48,"","y","y","","","t","r","","g","u"
"p",4.22,"f","t","n","f","x","c","p",5.86,4.65,"","i","n","","","f","f","","d","a"
"e",3.57,"x","y","n","f","e","c","p",3.92,11.25,"","","w","","","t","r","","w","u"
"e",8.77,"x","d","e","t","p","","y",6.07,13.28,"","","y","","","f","f","","d","u"
"e",46.32,"o","y","y","f","p","","y",4.47,28.76,"","k","n","","","f","f","","d","s"
"p",1.27,"s","s","y","f","f","f","f",4.09,5.19,"","","y","","","f","f","","d","a"
"p",2.79,"f","","u","f","a","","w",4.61,7.18,"","","y","","","f","f","","d","a"
"p",2.97,"x","y","y","f","a","","w",5.68,3.33,"","y","y","","","t","r","","d","a"
"e",0.93,"x","g","n","t","a","","w",5.79,0.96,"","","n","","","f","f","","h","u"
"p",2.94,"s","w","n","t","d","c","n",4.11,6.29,"","","n","","","f","f","","d","u"
"p",10.92,"x","e","n","t","p","","e",9.22,27.23,"","","e","","","f","f","","d","a"
"p",4.26,"c","k","w","t","x","c","r",5.5,12.14,"","","w","","","f","f","","d","s"
"p",3.82,"x","t","n","f","s","c","p",5.88,10.13,"","","w","","n","t","z","","d","a"
"e",4.22,"f","","w","f","x","c","w",6.83,3.23,"","","w","","","f","f","","d","a"
"e",11.06,"f","","n","t","","","w",11.33,18.43,"b","","w","u","w","t","g","","d","u"
"p",7.37,"f","t","e","f","x","d","w",6.08,17.22,"b","","w","","","f","f","","d","u"
"p",7.81,"x","t","n","f","s","","g",5.77,7.38,"","y","n","","","f","f","","d","w"
"e",4.35,"o","l","n","f","f","f","f",6.54,42.9,"","","n","","","f","f","g","d","a"
"e",4.87,"f","y","g","f","s","","w",5,8.06,"","","w","","","f","f","","d","u"
"e",8.96,"x","s","u","f","a","c","w",4.8,16.61,"","","w","","","f","f","","d","u"
"e",2.78,"s","y","n","f","a","d","p",6.22,3.13,"","i","n","","","f","f","","h","a"
"p",1.33,"x","","n","f","","","n",5.22,2.56,"","s","n","","","f","f","k","g","a"
"e",8.67,"s","d","b","f","d","d","b",6.19,13.14,"","","w","","","f","f","","g","a"
"p",1.58,"f","h","n","f","","","n",5.44,2.3,"","","y","","","f","f","","g","a"
"p",7.94,"f","w","p","f","s","c","p",5.1,10.88,"","","p","","","f","f","","d","a"
"p",2.84,"o","","g","f","f","f","f",3.62,14.15,"","g","g","","","f","f","","d","a"
"e",6.04,"x","y","n","f","e","c","w",4.86,9.88,"","y","n","","","f","f","","d","u"
"p",6.66,"f","y","u","f","s","c","y",6.23,13.64,"","y","u","","","f","f","","d","a"
"p",4.89,"c","i","y","f","","c","r",5.75,6.84,"","","w","","","f","f","","d","u"
"p",6.9,"s","t","n","t","d","","w",4.4,12.87,"","t","n","","","f","f","","d","a"
"p",3.4,"c","","u","f","a","c","w",3.78,3.51,"","i","w","","","f","f","","p","u"
"p",0.76,"x","g","y","f","","","y",3.6,0.82,"","","y","","","f","f","","d","a"
"p",11.88,"x","h","n","f","s","","y",6.84,16.89,"","i","n","","","f","f","","d","u"
"p",7.34,"x","d","e","t","d","c","w",7.28,10.15,"","","e","","","f","f","","d","a"
"e",11.5,"f","e","b","f","","c","b",4.62,17.79,"","","w","","","t","f","","d","a"
"p",0.82,"b","t","n","f","","c","k",3.06,2.32,"","","n","","","t","f","","g","u"
"p",7.08,"x","d","y","f","a","","o",10.15,18.75,"r","","y","","","t","r","n","d","a"
"p",4.1,"s","","u","f","a","","w",4.7,7.57,"","","w","","","f","f","","d","a"
"p",3.64,"f","d","b","f","x","c","w",4.52,3.06,"b","s","n","","","f","f","","d","u"
"p",2.19,"f","","u","f","a","c","w",3.6,3.51,"","i","w","","","f","f","","d","u"
"p",19.24,"s","k","n","f","d","c","y",5.86,40.29,"","k","n","","","f","f","","d","a"
"p",4.74,"o","","w","f","f","f","f",6.6,35.78,"","g","w","","","t","f","","p","a"
"p",2.19,"x","i","k","f","a","","w",4.56,2.56,"","","w","","","f","f","p","g","u"
"p",4.18,"b","h","n","f","","","n",11.19,7.32,"","","w","","","t","","k","g","a"
"e",9.99,"x","s","n","f","e","c","p",8.07,9.81,"","i","w","","","f","f","p","d","s"
"p",6.01,"f","","y","f","s","d","y",5.69,15.19,"","i","y","","","f","f","","d","a"
"e",2.83,"b","g","n","f","x","d","w",4.35,2.69,"","","y","","","f","f","","g","a"
"p",2.77,"f","","u","f","a","","w",4.23,6.57,"","","y","","","f","f","","d","a"
"p",5.38,"x","","y","f","s","d","y",5.57,14.16,"","i","y","","","f","f","","d","a"
"e",1.56,"x","g","y","f","d","","w",5.9,1.84,"","t","y","","","f","f","","g","u"
"e",7.99,"x","t","n","f","a","d","n",7.02,7.01,"","t","g","","","t","l","","d","w"
"p",1.25,"b","h","n","f","a","","n",4.63,1.49,"","t","n","","","f","f","","h","u"
"p",1.86,"x","","n","f","","","n",5.62,2.82,"","s","n","","","f","f","k","g","u"
"p",7.67,"x","i","y","f","a","c","k",7.45,8.24,"","i","n","","k","t","z","k","d","u"
"p",1.51,"x","k","n","f","","","n",4.89,1.57,"","","n","","","f","f","","d","s"
"e",6.7,"x","t","y","t","x","c","y",8.68,15.99,"","","w","","","f","f","","d","a"
